index,publishing_year,book_name,author,language_code,author_rating,book_average_rating,book_ratings_count,genre,gross_sales,publisher_revenue,sale_price,publisher,units_sold,operating_cost
876,2003,The King of Torts,John Grisham,eng,Intermediate,3.67,61835.0,Non-Fiction,670.88,402.528,5.99,HarperCollins Publishers,4480.0,268.352
877,2006,Lone Survivor: The Eyewitness Account of Operation Redwing and the Lost Heroes of SEAL Team 10,"Marcus Luttrell, Patrick Robinson",eng,,4.34,46551.0,Fiction,446.88,0.0,3.99,"Amazon Digital Services,  Inc.",4440.0,446.88
878,2008,The 3 Mistakes of My Life,Chetan Bhagat,eng,Intermediate,2.97,53331.0,Fiction,894.88,536.928,7.99,Random House LLC,4440.0,357.952
879,1926,The Murder of Roger Ackroyd,Agatha Christie,eng,,4.2,71354.0,Non-Fiction,842.24,505.344,7.52,"Amazon Digital Services,  Inc.",4440.0,336.896
880,1940,Native Son ,Richard Wright,eng,Intermediate,3.96,66194.0,Fiction,334.88,0.0,2.99,"Amazon Digital Services,  Inc.",4440.0,334.88
881,2008,Shadow's Edge,Brent Weeks,en-US,,4.27,66390.0,Fiction,1326.08,795.648,11.84,Random House LLC,4440.0,530.4319999999999
882,2011,Under the Never Sky,Veronica Rossi,en-GB,,4.01,74029.0,Fiction,446.88,0.0,3.99,"Amazon Digital Services,  Inc.",4440.0,446.88
883,2003,True Believer,Nicholas Sparks,en-US,Intermediate,3.8,62840.0,Fiction,558.88,0.0,4.99,"Amazon Digital Services,  Inc.",4440.0,558.88
884,2011,The Lean Startupâ€Ž,Eric Ries,en-US,,4.04,86284.0,Fiction,110.88,66.528,0.99,"Amazon Digital Services,  Inc.",4440.0,44.35199999999999
885,2012,The Golden Lily,Richelle Mead,en-US,,4.36,86929.0,Fiction,1230.88,738.528,10.99,Penguin Group (USA) LLC,4440.0,492.3520000000001
886,2008,Chasing Harry Winston,Lauren Weisberger,eng,Beginner,3.32,63342.0,Fiction,558.88,335.328,4.99,Random House LLC,4440.0,223.55200000000002
889,1960,The Rise and Fall of the Third Reich: A History of Nazi Germany,William L. Shirer,eng,,4.15,64391.0,Fiction,334.88,200.928,2.99,HarperCollins Publishers,4440.0,133.952
890,2005,A Long Way Down,Nick Hornby,eng,Beginner,3.41,59843.0,Non-Fiction,446.88,268.128,3.99,Hachette Book Group,4440.0,178.752
891,1993,Out from Boneville,"Jeff Smith, Steve Hamaker",eng,,4.16,62330.0,Fiction,670.88,0.0,5.99,"Amazon Digital Services,  Inc.",4400.0,670.88
892,1995,Rose Madder,Stephen King,eng,Intermediate,3.66,70921.0,Fiction,222.88,133.728,1.99,Simon and Schuster Digital Sales Inc,4400.0,89.15199999999999
893,1998,"Die Trying (Jack Reacher, #2)",Lee Child,en-US,Intermediate,4.0,62128.0,Fiction,334.88,200.928,2.99,Macmillan,4400.0,133.952
894,2011,Beautiful Chaos,"Kami Garcia, Margaret Stohl, Paz Pruneda",en-US,Intermediate,3.95,69709.0,Fiction,222.88,133.728,1.99,Hachette Book Group,4400.0,89.15199999999999
896,2007,Heart-Shaped Box,Joe Hill,en-US,Intermediate,3.82,65005.0,Fiction,331.89,0.0,2.99,"Amazon Digital Services,  Inc.",4400.0,331.89
897,2010,Cabin Fever,Jeff Kinney,eng,,4.21,63347.0,Non-Fiction,1330.89,798.534,11.99,Penguin Group (USA) LLC,4400.0,532.3560000000001
